index,title,author,pages,genre,description,published_date,publisher,average_rating,ratings_count,thumbnail
2,Fictional Points of View,Peter Lamarque,252.0,Literature,the volume focuses on a wide range of thinkers including iris murdoch on truth and art stanley cavell on tragedy roland barthes and michel foucault on the death of the author and kendall walton on fearing fictions also included is a consideration of the fifteenthcentury japanese playwright and drama teacher zeami motokiyo the founding father of noh theather,1996-01-01 00:00:00,cornell university press,,0,http://books.google.com/books/content?id=rh-omr6laV0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
3,Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",802.0,Reference,science fiction and fantasy literature a checklist 17001974 volume one of two contains an author index title index series index awards index and the ace and belmont doubles index,2010-09-01 00:00:00,wildside press llc,,0,http://books.google.com/books/content?id=P8zW2AH6150C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
6,Fictional Space in the Modernist and Post-modernist American Novel,Carl Darryl Malmgren,248.0,Fiction,fictional space is the imaginal expanse of field created by fictional discourse a space which through ultimately selfreferential and selfvalidating necessarily exists in ascertainable relation to the real world outside the text after defining his theoretical framework the author applies it to american fiction of the twentieth century,1985-01-01 00:00:00,bucknell university press,,0,http://books.google.com/books/content?id=KXzozWo8N-EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
7,Mestizos Come Home!,Robert Con Davis-Undiano,337.0,History,uruguayan writer eduardo galeano has described us and latin american culture as continually hobbled by amnesiaunable or unwilling to remember the influence of mestizos and indigenous populations in mestizos come home author robert con davisundiano documents the great awakening of mexican american and latino culture since the 1960s that has challenged this omission in collective memory he maps a new awareness of the united states as intrinsically connected to the broader context of the a,2017-03-30 00:00:00,university of oklahoma press,,0,http://books.google.com/books/content?id=fk1jDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
8,"Fictional Practice: Magic, Narration, and the Power of Imagination","Bernd-Christian Otto, Dirk Johannsen",384.0,Lifestyle,to what extent were practitioners of magic inspired by fictional accounts of their art in how far did the daunting narratives surrounding legendary magicians such as theophilus of adana cyprianus of antioch johann georg faust or agrippa of nettesheim rely on realworld events or practices fourteen original case studies present material from late antiquity to the twentyfirst century and explore these questions in a systematic manner by coining the notion of fictional practice the editors,2021-09-27 00:00:00,brill,,0,http://books.google.com/books/content?id=NLJFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9,Telling Lies in Modern American Autobiography,Timothy Dow Adams,230.0,Literature,this collection of twelve essays discusses the principles and practices of womens autobiographical writing in america england and france from the eighteenth to the twentieth centuries,1990-01-01 00:00:00,unc press books,,0,http://books.google.com/books/content?id=p6YBbKOR81sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
10,"Essential Skills - Reading and Writing, Grade 1","Teacher Created Resources, Inc",178.0,Education,no description available,2008-12-01 00:00:00,teacher created resources,,0,http://books.google.com/books/content?id=Gynn-4pUcXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
12,Reload,"Mary Flanagan, Austin Booth",604.0,Social Science,an anthology of feminist cyberfiction and theoretical and critical writings on gender and technoculture most writing on cyberculture is dominated by two almost mutually exclusive visions the heroic image of the male outlaw hacker and the utopian myth of a genderfree cyberworld reload offers an alternative picture of cyberspace as a complex and contradictory place where there is oppression as well as liberation it shows how cyberpunks revolutionary claims conceal its ultimate conservatism o,2002-05-03 00:00:00,mit press,,0,http://books.google.com/books/content?id=8LFsPwN2AJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
13,Presented Discourse in Popular Science,Olga Pilkington,206.0,Education,in presented discourse in popular science olga a pilkington explores the forms and functions of the voices of scientists in books written for nonprofessionals this study confirms the importance of considering presentation of discourse outside of literary fiction popular science uses presented discourse in ways uncommon for fiction yet not conventional for nonfiction either this analysis is an acknowledgement of the social consequences of popularization discourse presentation of scientist,2018-07-03 00:00:00,brill,,0,http://books.google.com/books/content?id=P-t5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
14,Encyclopedia of the Novel,Paul Schellinger,838.0,Literature,the encyclopedia of the novel is the first reference book that focuses on the development of the novel throughout the world entries on individual writers assess the place of that writer within the development of the novel form explaining why and in exactly what ways that writer is importnant similarly an entry on an individual novel discusses the importance of that novel not only form analyzing the particular innovations that novel has introduced and the ways in which it has influenced the,2014-04-08 00:00:00,routledge,3.0,2,http://books.google.com/books/content?id=FPdRAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
15,Idealism,"Tyron Goldschmidt, Kenneth L. Pearce",314.0,Religion & Philosophy,idealism is a family of metaphysical views each of which gives priority to the mental the bestknown forms of idealism in western philosophy are berkeleyan idealism which gives ontological priority to the mental minds and ideas over the physical bodies and kantian idealism which gives a kind of explanatory priority to the mental the structure of the understanding over the physical the structure of the empirical world although idealism was once a dominant view in western philosophy,2017-01-01 00:00:00,oxford university press,5.0,0,http://books.google.com/books/content?id=j_pADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
17,The Philosophy of David Cronenberg,Simon Riches,234.0,Religion & Philosophy,initially regarded as a cult figure with a strong following amongst scifi and horror film fans canadian filmmaker david cronenberg emerged as a major and commercially viable film director with mainstream hits such as a history of violence 2005 and eastern promises 2007 with his unique ability to present imagery that is both disturbing and provocative cronenberg creates striking films noteworthy not just for their cinematic beauty but also for the philosophical questions they raise the,2012-04-20 00:00:00,university press of kentucky,,0,http://books.google.com/books/content?id=sTaF82QEVbgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
18,International Who's Who of Authors and Writers 2004,Europa Publications,644.0,Biography,accurate and reliable biographical information essential to anyone interested in the world of literature theinternational whos who of authors and writersoffers invaluable information on the personalities and organizations of the literary world including many upandcoming writers as well as established names with over 8000 entries this updated edition features concise biographical information on novelists authors playwrights columnists journalists editors and critics biographical,2003-01-01 00:00:00,psychology press,,0,http://books.google.com/books/content?id=phhhHT64kIMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
21,"Hugo Gernsback, Father of Modern Science Fiction",Mark Siegel,104.0,Literature,hugo gernsback father of modern science fiction,1988-01-01 00:00:00,millefleurs,,0,http://books.google.com/books/content?id=PaVaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
31,Tessa Tiger's Temper Tantrums,Barbara deRubertis,32.0,Children,read along or enhanced ebook tessa tiger likes to play sportsbut not when she loses she stomps and storms until her friends dont want to play with her anymore can tessa change her attitude and make tball fun againfor everyone,2017-12-13 00:00:00,triangle interactive inc,,0,http://books.google.com/books/content?id=8oJDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
45,Routledge Handbook of Historical International Relations,"Benjamin de Carvalho, Julia Costa Lopez, Halvard Leira",886.0,Government,this handbook presents a comprehensive concise and accessible overview of the field of historical international relations hir it summarizes and synthesizes existing contributions to the field while presenting central themes approaches and methodologies that have driven the development of hir providing the reader with a sense of the diversity and research dynamics that are at the heart of this field of study the wide range of topics covered are grouped under the following headings traditi,2021-06-28 00:00:00,taylor and francis,,0,http://books.google.com/books/content?id=b2jwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
